# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N37    0.8093     SPARTAN_comb_N37_1.spec    22.6277     0.0             28.5098     0.4343          26.2696     0.3563          24.2173     0.3106          22.6277     0.2377          21.9304     0.5057          21.032     0.4449         20.4513    1.0355         19.9783    0.7892        
  SPARTAN_comb_N38    0.81       SPARTAN_comb_N38_1.spec    23.9414     0.0             27.895      0.0601          27.0168     0.306           25.5422     0.238           23.9414     0.0776          23.3965     0.5545          22.6136    0.7573         22.0663    1.2584         21.5849    0.484         
  SPARTAN_comb_N39    0.8101     SPARTAN_comb_N39_1.spec    24.0791     0.0             27.8913     0.2231          27.1052     0.5031          25.6315     0.2785          24.0791     0.2742          23.4102     0.1356          22.4674    0.9569         21.8491    0.8516         21.3326    0.501         
  SPARTAN_comb_N40    0.8105     SPARTAN_comb_N40_1.spec    22.0058     0.0             22.6719     0.4018          22.7285     0.5639          22.5808     0.0966          22.0058     0.1532          21.8248     0.2795          21.6555    0.3538         21.7088    1.0563         21.7364    0.2319        
  SPARTAN_comb_N41    0.8109     SPARTAN_comb_N41_1.spec    22.5902     0.0             24.76       0.1041          24.3345     0.08            23.6518     0.2995          22.5902     0.1363          22.1412     0.0026          21.4045    0.398          20.8763    1.115          20.413     0.5048        
  SPARTAN_comb_N42    0.8113     SPARTAN_comb_N42_1.spec    22.3299     0.0             23.8792     0.0626          23.6751     0.2236          23.1927     0.1561          22.3299     0.3147          21.9841     0.2774          21.5059    0.4097         21.3552    0.2883         21.2783    0.2607        
  SPARTAN_comb_N43    0.8129     SPARTAN_comb_N43_1.spec    24.1242     0.0             27.6335     1.0228          26.8168     0.2852          25.4438     0.1994          24.1242     0.1775          23.6156     0.3942          22.9922    0.3891         22.6066    0.65           22.3895    0.6127        
  SPARTAN_comb_N44    0.8131     SPARTAN_comb_N44_1.spec    23.6082     0.0             29.8653     0.0625          27.527      0.2226          25.3216     0.1139          23.6082     0.2102          22.7674     0.2441          21.5637    1.0839         20.7431    0.7391         20.2296    0.9282        
  SPARTAN_comb_N45    0.8139     SPARTAN_comb_N45_1.spec    23.7364     0.0             24.1784     0.8127          24.1826     0.2392          24.0424     0.2517          23.7364     0.2356          23.4331     0.4106          23.0974    0.4206         23.4347    0.8093         23.6505    0.6363        
  SPARTAN_comb_N46    0.8139     SPARTAN_comb_N46_1.spec    24.0176     0.0             25.2089     0.0649          25.1265     0.1936          24.796      0.164           24.0176     0.24            23.7614     0.556           23.4439    0.9717         23.3506    0.2939         23.284     0.0122        
  SPARTAN_comb_N47    0.8141     SPARTAN_comb_N47_1.spec    23.7267     0.0             24.2094     0.7515          24.2903     0.2602          24.185      0.2864          23.7267     0.1964          23.5372     0.4525          23.3739    0.4434         23.5893    0.6211         23.7523    0.8136        
