# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N108   0.8345     SPARTAN_comb_N108_1.spec   23.4631     0.5            
  SPARTAN_comb_N109   0.8357     SPARTAN_comb_N109_1.spec   22.1486     0.5            
  SPARTAN_comb_N110   0.8368     SPARTAN_comb_N110_1.spec   22.0983     0.5            
  SPARTAN_comb_N111   0.8371     SPARTAN_comb_N111_1.spec   23.2966     0.5            
  SPARTAN_comb_N112   0.8377     SPARTAN_comb_N112_1.spec   22.5246     0.5            
  SPARTAN_comb_N113   0.8381     SPARTAN_comb_N113_1.spec   23.3061     0.5            
  SPARTAN_comb_N114   0.8385     SPARTAN_comb_N114_1.spec   24.033      0.5            
  SPARTAN_comb_N115   0.8387     SPARTAN_comb_N115_1.spec   24.1221     0.5            
  SPARTAN_comb_N116   0.8393     SPARTAN_comb_N116_1.spec   21.4728     0.5            
  SPARTAN_comb_N117   0.8394     SPARTAN_comb_N117_1.spec   22.9079     0.5            
  SPARTAN_comb_N118   0.8395     SPARTAN_comb_N118_1.spec   22.9398     0.5            
  SPARTAN_comb_N119   0.8395     SPARTAN_comb_N119_1.spec   23.1362     0.5            
  SPARTAN_comb_N120   0.8397     SPARTAN_comb_N120_1.spec   23.4456     0.5            
  SPARTAN_comb_N121   0.8398     SPARTAN_comb_N121_1.spec   22.7148     0.5            
  SPARTAN_comb_N122   0.8401     SPARTAN_comb_N122_1.spec   21.5514     0.5            
  SPARTAN_comb_N123   0.8407     SPARTAN_comb_N123_1.spec   22.0206     0.5            
  SPARTAN_comb_N124   0.8409     SPARTAN_comb_N124_1.spec   23.0154     0.5            
  SPARTAN_comb_N125   0.8411     SPARTAN_comb_N125_1.spec   21.7152     0.5            
  SPARTAN_comb_N126   0.8411     SPARTAN_comb_N126_1.spec   22.4168     0.5            
  SPARTAN_comb_N127   0.8411     SPARTAN_comb_N127_1.spec   22.774      0.5            
  SPARTAN_comb_N128   0.8411     SPARTAN_comb_N128_1.spec   23.2518     0.5            
  SPARTAN_comb_N129   0.8413     SPARTAN_comb_N129_1.spec   22.0151     0.5            
  SPARTAN_comb_N130   0.8413     SPARTAN_comb_N130_1.spec   22.4139     0.5            
  SPARTAN_comb_N131   0.8414     SPARTAN_comb_N131_1.spec   22.9937     0.5            
  SPARTAN_comb_N132   0.8415     SPARTAN_comb_N132_1.spec   22.1183     0.5            
  SPARTAN_comb_N133   0.8415     SPARTAN_comb_N133_1.spec   23.4582     0.5            
  SPARTAN_comb_N134   0.8418     SPARTAN_comb_N134_1.spec   22.8239     0.5            
  SPARTAN_comb_N135   0.8418     SPARTAN_comb_N135_1.spec   23.2261     0.5            
  SPARTAN_comb_N136   0.842      SPARTAN_comb_N136_1.spec   21.9643     0.5            
  SPARTAN_comb_N137   0.842      SPARTAN_comb_N137_1.spec   22.3386     0.5            
  SPARTAN_comb_N138   0.842      SPARTAN_comb_N138_1.spec   23.9403     0.5            
  SPARTAN_comb_N139   0.8422     SPARTAN_comb_N139_1.spec   21.6009     0.5            
  SPARTAN_comb_N140   0.8426     SPARTAN_comb_N140_1.spec   21.75       0.5            
  SPARTAN_comb_N141   0.8426     SPARTAN_comb_N141_1.spec   23.509      0.5            
  SPARTAN_comb_N142   0.8427     SPARTAN_comb_N142_1.spec   21.2105     0.5            
  SPARTAN_comb_N143   0.8427     SPARTAN_comb_N143_1.spec   23.634      0.5            
  SPARTAN_comb_N144   0.8431     SPARTAN_comb_N144_1.spec   23.0638     0.5            
  SPARTAN_comb_N145   0.8434     SPARTAN_comb_N145_1.spec   22.3867     0.5            
  SPARTAN_comb_N146   0.8434     SPARTAN_comb_N146_1.spec   22.7427     0.5            
  SPARTAN_comb_N147   0.8434     SPARTAN_comb_N147_1.spec   22.7823     0.5            
  SPARTAN_comb_N148   0.8434     SPARTAN_comb_N148_1.spec   23.7298     0.5            
  SPARTAN_comb_N149   0.8438     SPARTAN_comb_N149_1.spec   21.5128     0.5            
  SPARTAN_comb_N150   0.8438     SPARTAN_comb_N150_1.spec   23.0528     0.5            
  SPARTAN_comb_N151   0.8439     SPARTAN_comb_N151_1.spec   22.7666     0.5            
  SPARTAN_comb_N152   0.8442     SPARTAN_comb_N152_1.spec   22.5169     0.5            
  SPARTAN_comb_N153   0.8442     SPARTAN_comb_N153_1.spec   22.6584     0.5            
  SPARTAN_comb_N154   0.8443     SPARTAN_comb_N154_1.spec   21.2827     0.5            
  SPARTAN_comb_N155   0.8443     SPARTAN_comb_N155_1.spec   22.0906     0.5            
  SPARTAN_comb_N156   0.8447     SPARTAN_comb_N156_1.spec   21.2805     0.5            
  SPARTAN_comb_N157   0.8448     SPARTAN_comb_N157_1.spec   23.0989     0.5            
  SPARTAN_comb_N158   0.8452     SPARTAN_comb_N158_1.spec   20.6912     0.5            
  SPARTAN_comb_N159   0.8465     SPARTAN_comb_N159_1.spec   22.489      0.5            
  SPARTAN_comb_N160   0.8469     SPARTAN_comb_N160_1.spec   23.781      0.5            
  SPARTAN_comb_N161   0.847      SPARTAN_comb_N161_1.spec   23.4685     0.5            
  SPARTAN_comb_N162   0.847      SPARTAN_comb_N162_1.spec   23.6474     0.5            
  SPARTAN_comb_N163   0.8473     SPARTAN_comb_N163_1.spec   23.2888     0.5            
  SPARTAN_comb_N164   0.8483     SPARTAN_comb_N164_1.spec   23.9002     0.5            
  SPARTAN_comb_N165   0.8485     SPARTAN_comb_N165_1.spec   21.3508     0.5            
  SPARTAN_comb_N166   0.8486     SPARTAN_comb_N166_1.spec   22.3088     0.5            
  SPARTAN_comb_N167   0.8486     SPARTAN_comb_N167_1.spec   22.7832     0.5            
  SPARTAN_comb_N168   0.849      SPARTAN_comb_N168_1.spec   22.8313     0.5            
  SPARTAN_comb_N169   0.8492     SPARTAN_comb_N169_1.spec   23.4707     0.5            
  SPARTAN_comb_N170   0.8495     SPARTAN_comb_N170_1.spec   21.9051     0.5            
  SPARTAN_comb_N171   0.8495     SPARTAN_comb_N171_1.spec   23.6621     0.5            
  SPARTAN_comb_N172   0.8497     SPARTAN_comb_N172_1.spec   21.6944     0.5            
  SPARTAN_comb_N173   0.8497     SPARTAN_comb_N173_1.spec   21.8698     0.5            
  SPARTAN_comb_N174   0.8497     SPARTAN_comb_N174_1.spec   21.9635     0.5            
  SPARTAN_comb_N175   0.8498     SPARTAN_comb_N175_1.spec   21.4725     0.5            
  SPARTAN_comb_N176   0.8498     SPARTAN_comb_N176_1.spec   21.664      0.5            
  SPARTAN_comb_N177   0.8498     SPARTAN_comb_N177_1.spec   22.0281     0.5            
  SPARTAN_comb_N178   0.8498     SPARTAN_comb_N178_1.spec   22.1902     0.5            
  SPARTAN_comb_N179   0.8502     SPARTAN_comb_N179_1.spec   22.0957     0.5            
  SPARTAN_comb_N180   0.8503     SPARTAN_comb_N180_1.spec   22.7444     0.5            
  SPARTAN_comb_N181   0.8504     SPARTAN_comb_N181_1.spec   23.8049     0.5            
  SPARTAN_comb_N182   0.8505     SPARTAN_comb_N182_1.spec   23.0504     0.5            
  SPARTAN_comb_N183   0.8506     SPARTAN_comb_N183_1.spec   21.1631     0.5            
  SPARTAN_comb_N184   0.8506     SPARTAN_comb_N184_1.spec   22.3917     0.5            
  SPARTAN_comb_N185   0.8507     SPARTAN_comb_N185_1.spec   20.5253     0.5            
  SPARTAN_comb_N186   0.8507     SPARTAN_comb_N186_1.spec   22.5328     0.5            
  SPARTAN_comb_N187   0.8508     SPARTAN_comb_N187_1.spec   22.3546     0.5            
  SPARTAN_comb_N188   0.8509     SPARTAN_comb_N188_1.spec   23.1044     0.5            
  SPARTAN_comb_N189   0.8509     SPARTAN_comb_N189_1.spec   23.9003     0.5            
  SPARTAN_comb_N190   0.851      SPARTAN_comb_N190_1.spec   21.8967     0.5            
  SPARTAN_comb_N191   0.851      SPARTAN_comb_N191_1.spec   23.6353     0.5            
  SPARTAN_comb_N192   0.8511     SPARTAN_comb_N192_1.spec   23.1826     0.5            
  SPARTAN_comb_N193   0.8511     SPARTAN_comb_N193_1.spec   23.2711     0.5            
  SPARTAN_comb_N194   0.8511     SPARTAN_comb_N194_1.spec   23.365      0.5            
  SPARTAN_comb_N195   0.8512     SPARTAN_comb_N195_1.spec   21.2198     0.5            
  SPARTAN_comb_N196   0.8512     SPARTAN_comb_N196_1.spec   21.9459     0.5            
  SPARTAN_comb_N197   0.8514     SPARTAN_comb_N197_1.spec   21.8459     0.5            
  SPARTAN_comb_N198   0.8514     SPARTAN_comb_N198_1.spec   23.3566     0.5            
  SPARTAN_comb_N199   0.8515     SPARTAN_comb_N199_1.spec   23.2197     0.5            
  SPARTAN_comb_N200   0.8516     SPARTAN_comb_N200_1.spec   23.2231     0.5            
  SPARTAN_comb_N201   0.8516     SPARTAN_comb_N201_1.spec   23.838      0.5            
  SPARTAN_comb_N202   0.8517     SPARTAN_comb_N202_1.spec   21.5917     0.5            
  SPARTAN_comb_N203   0.8519     SPARTAN_comb_N203_1.spec   21.4858     0.5            
  SPARTAN_comb_N204   0.852      SPARTAN_comb_N204_1.spec   23.1988     0.5            
  SPARTAN_comb_N205   0.8522     SPARTAN_comb_N205_1.spec   22.6437     0.5            
  SPARTAN_comb_N206   0.8523     SPARTAN_comb_N206_1.spec   23.6786     0.5            
  SPARTAN_comb_N207   0.8524     SPARTAN_comb_N207_1.spec   22.4258     0.5            
  SPARTAN_comb_N208   0.8524     SPARTAN_comb_N208_1.spec   22.6241     0.5            
  SPARTAN_comb_N209   0.8524     SPARTAN_comb_N209_1.spec   23.8704     0.5            
  SPARTAN_comb_N210   0.8526     SPARTAN_comb_N210_1.spec   23.1615     0.5            
  SPARTAN_comb_N211   0.8528     SPARTAN_comb_N211_1.spec   20.2635     0.5            
  SPARTAN_comb_N212   0.8528     SPARTAN_comb_N212_1.spec   22.0445     0.5            
  SPARTAN_comb_N213   0.8528     SPARTAN_comb_N213_1.spec   22.0513     0.5            
  SPARTAN_comb_N214   0.8532     SPARTAN_comb_N214_1.spec   22.3431     0.5            
  SPARTAN_comb_N215   0.8535     SPARTAN_comb_N215_1.spec   21.9656     0.5            
  SPARTAN_comb_N216   0.8537     SPARTAN_comb_N216_1.spec   23.1945     0.5            
  SPARTAN_comb_N217   0.8538     SPARTAN_comb_N217_1.spec   19.936      0.5            
  SPARTAN_comb_N218   0.8539     SPARTAN_comb_N218_1.spec   21.1882     0.5            
  SPARTAN_comb_N219   0.8555     SPARTAN_comb_N219_1.spec   21.7917     0.5            
